	open	ma5	close	volume	ochl_1	ochl_2	ochl_3	ochl_4	ochl_5
969	1028.96	1020.7214	1027.616	1478433900.0	1024.015	1037.659	1040.757	1047.666	1048.537
970	1018.154	1016.067	1028.958	1484206800.0	1027.616	1024.015	1037.659	1040.757	1047.666
971	1020.468	1012.1296	1018.272	1134803000.0	1028.958	1027.616	1024.015	1037.659	1040.757
972	1008.803	1011.4698	1019.864	1176591100.0	1018.272	1028.958	1027.616	1024.015	1037.659
973	1004.747	1015.2716	1008.897	1188798300.0	1019.864	1018.272	1028.958	1027.616	1024.015
974	1006.965	1021.8276	1004.344	1273509900.0	1008.897	1019.864	1018.272	1028.958	1027.616
975	1012.578	1028.692	1009.271	1746305500.0	1004.344	1008.897	1019.864	1018.272	1028.958
976	1037.928	1038.1616	1014.973	1933651600.0	1009.271	1004.344	1008.897	1019.864	1018.272
977	1041.659	1045.769	1038.873	1787096300.0	1014.973	1009.271	1004.344	1008.897	1019.864
978	1037.988	1047.5634	1041.677	2120053900.0	1038.873	1014.973	1009.271	1004.344	1008.897
979	1055.858	1049.1168	1038.666	2487786100.0	1041.677	1038.873	1014.973	1009.271	1004.344
980	1051.759	1049.6582	1056.619	1942573000.0	1038.666	1041.677	1038.873	1014.973	1009.271
981	1046.713	1045.9114	1053.01	1935326700.0	1056.619	1038.666	1041.677	1038.873	1014.973
982	1055.947	1043.0726	1047.845	2287209900.0	1053.01	1056.619	1038.666	1041.677	1038.873
983	1041.97	1037.8314	1049.444	1967610400.0	1047.845	1053.01	1056.619	1038.666	1041.677
984	1038.253	1032.0162	1041.373	1978503700.0	1049.444	1047.845	1053.01	1056.619	1038.666
985	1039.649	1027.7658	1037.885	2538070400.0	1041.373	1049.444	1047.845	1053.01	1056.619
986	1020.977	1028.5208	1038.816	2367803900.0	1037.885	1041.373	1049.444	1047.845	1053.01
987	1020.74	1028.4638	1021.639	1881888300.0	1038.816	1037.885	1041.373	1049.444	1047.845
988	1020.063	1030.4588	1020.368	2102687500.0	1021.639	1038.816	1037.885	1041.373	1049.444
989	1041.665	1032.8526	1020.121	2615989200.0	1020.368	1021.639	1038.816	1037.885	1041.373
990	1040.332	1032.7482	1041.66	2478462800.0	1020.121	1020.368	1021.639	1038.816	1037.885
991	1032.645	1031.0306	1038.531	1855622000.0	1041.66	1020.121	1020.368	1021.639	1038.816
992	1034.381	1029.3118	1031.614	2215729800.0	1038.531	1041.66	1020.121	1020.368	1021.639
993	1019.416	1029.6358	1032.337	2202445300.0	1031.614	1038.531	1041.66	1020.121	1020.368
994	1033.192	1025.0878	1019.599	2383960100.0	1032.337	1031.614	1038.531	1041.66	1020.121
