date	open	ma5	high	close	low	volume
2015-05-28	5174.101	5053.038	5213.183	4834.007	4831.329	571829056.0
2015-05-27	5216.17	5054.432	5226.844	5181.434	5126.861	470798720.0
2015-05-26	5140.798	4969.129	5199.295	5198.918	5063.146	487949344.0
2015-05-25	4949.11	4875.589	5099.839	5099.495	4949.11	465736576.0
2015-05-22	4895.925	4770.718	4951.991	4951.335	4870.598	455846720.0
2015-05-21	4768.689	4703.945	4841.615	4840.976	4746.029	305054528.0
2015-05-20	4751.572	4675.906	4843.1	4754.919	4745.21	363180736.0
2015-05-19	4577.637	4668.609	4740.005	4731.222	4577.637	314785952.0
2015-05-18	4582.058	4671.849	4623.383	4575.14	4565.061	269180480.0
2015-05-15	4690.755	4694.927	4690.755	4617.47	4592.05	328431168.0
2015-05-14	4717.955	4683.114	4735.284	4700.778	4670.168	337725152.0
2015-05-13	4746.713	4636.976	4758.002	4718.436	4678.845	370730432.0
2015-05-12	4692.122	4603.955	4748.004	4747.421	4660.016	377053888.0
2015-05-11	4582.091	4573.838	4690.954	4690.532	4535.149	373838432.0
2015-05-08	4515.554	4593.28	4559.058	4558.404	4445.592	302407968.0
2015-05-07	4520.818	4631.576	4546.338	4470.089	4467.459	297759200.0
2015-05-06	4626.231	4692.423	4700.909	4553.327	4511.761	376073696.0
2015-05-05	4785.192	4730.13	4785.192	4596.837	4572.983	460419616.0
2015-05-04	4757.637	4772.281	4795.915	4787.741	4699.398	377843840.0
2015-04-30	4788.412	4755.261	4818.725	4749.886	4749.485	399727456.0
2015-04-29	4722.903	4753.462	4797.927	4774.326	4695.793	395056992.0
2015-04-28	4811.319	4746.56	4839.078	4741.861	4703.567	608638528.0
2015-04-27	4753.871	4722.021	4810.485	4807.592	4735.31	513076544.0
2015-04-24	4682.626	4664.886	4730.43	4702.641	4618.318	480152928.0
2015-04-23	4764.481	4643.585	4782.044	4740.892	4693.967	497430944.0
2015-04-22	4637.055	4598.116	4740.933	4739.814	4632.589	516213792.0
2015-04-21	4520.461	4526.256	4620.058	4619.164	4504.558	490314976.0
2015-04-20	4615.034	4490.06	4671.168	4521.919	4492.6	686439104.0
2015-04-17	4578.679	4469.89	4630.27	4596.136	4553.904	552802688.0
2015-04-16	4355.491	4419.546	4513.765	4513.546	4335.63	422603744.0
2015-04-15	4439.314	4369.265	4475.997	4380.513	4379.609	472154144.0
2015-04-14	4432.126	4352.323	4474.353	4438.184	4385.908	434432128.0
2015-04-13	4394.047	4316.695	4432.024	4421.073	4361.589	434153024.0
2015-04-10	4249.383	4266.588	4351.687	4344.416	4231.196	348190176.0
2015-04-09	4316.958	4222.66	4332.166	4262.138	4212.611	439699904.0
2015-04-08	4277.45	4195.011	4304.78	4295.803	4204.826	458676704.0
2015-04-07	4213.894	4146.091	4260.471	4260.044	4197.019	415362656.0
2015-04-03	4104.672	4111.718	4170.558	4170.538	4092.383	321303776.0
2015-04-02	4149.946	4071.95	4156.842	4124.776	4068.649	339070496.0
2015-04-01	4057.501	4036.995	4139.499	4123.895	4046.939	329512864.0
2015-03-31	4138.885	4000.298	4166.018	4051.204	4037.771	436065632.0
2015-03-30	3999.024	3984.666	4101.651	4088.178	3999.024	428297024.0
2015-03-27	3957.542	3961.443	3993.032	3971.697	3932.87	298756064.0
2015-03-26	3921.745	3945.618	3991.997	3949.999	3892.878	346756320.0
2015-03-25	3961.578	3923.566	3980.716	3940.412	3913.988	379968864.0
2015-03-24	3980.066	3904.695	3989.858	3973.046	3883.782	468581312.0
2015-03-23	3923.083	3861.51	3972.296	3972.061	3922.21	391119936.0
2015-03-20	3852.492	3808.232	3916.863	3892.574	3832.416	401817536.0
2015-03-19	3851.249	3753.249	3859.126	3839.739	3809.706	391547616.0
2015-03-18	3769.086	3703.87	3846.055	3846.055	3763.848	415190016.0
2015-03-17	3733.961	3639.589	3762.575	3757.122	3716.809	371625664.0
2015-03-16	3641.773	3592.287	3705.739	3705.671	3621.119	275438304.0
2015-03-13	3604.671	3558.703	3641.392	3617.657	3594.742	246864768.0
2015-03-12	3557.686	3530.876	3603.341	3592.844	3536.534	265664624.0
2015-03-11	3524.575	3511.576	3568.916	3524.653	3512.218	188947824.0
2015-03-10	3523.64	3512.809	3551.205	3520.611	3511.985	194267664.0
2015-03-09	3449.696	3510.267	3546.705	3537.75	3417.486	233940416.0
2015-03-06	3501.184	3522.97	3516.243	3478.52	3472.392	181518048.0
2015-03-05	3513.249	3541.835	3517.083	3496.344	3467.676	217508800.0
2015-03-04	3514.667	3555.825	3540.912	3530.822	3497.172	199663984.0
2015-03-03	3579.315	3545.406	3579.315	3507.9	3504.201	261866496.0
2015-03-02	3603.452	3548.291	3608.691	3601.265	3566.527	248176128.0
2015-02-27	3565.233	3532.502	3594.813	3572.843	3560.455	222786432.0
2015-02-26	3473.713	3517.83	3569.33	3566.295	3456.871	229328432.0
2015-02-25	3529.55	3498.537	3529.55	3478.729	3463.955	165539344.0
2015-02-24	3511.544	3491.366	3536.82	3522.322	3511.093	165328320.0
2015-02-17	3511.544	3473.726	3536.82	3522.322	3511.093	165328320.0
2015-02-16	3473.289	3450.65	3504.475	3499.483	3466.607	165641344.0
2015-02-13	3458.827	3419.938	3509.505	3469.828	3452.079	201089968.0
2015-02-12	3435.361	3388.456	3453.582	3442.874	3405.627	156081696.0
2015-02-11	3415.977	3373.271	3445.655	3434.124	3412.136	144613776.0
2015-02-10	3345.077	3366.8	3407.18	3406.943	3339.548	159309088.0
2015-02-09	3305.734	3372.9	3376.526	3345.921	3298.597	172353824.0
2015-02-06	3352.33	3374.508	3374.051	3312.42	3285.935	192664192.0
2015-02-05	3487.951	3398.902	3487.951	3366.946	3366.862	250430608.0
2015-02-04	3446.144	3421.872	3476.817	3401.768	3399.565	191304352.0
2015-02-03	3388.602	3446.583	3441.709	3437.445	3360.717	192846096.0
2015-02-02	3360.193	3474.08	3407.256	3353.96	3347.085	195183696.0
2015-01-30	3496.885	3524.885	3514.217	3434.39	3431.936	196479152.0
2015-01-29	3474.915	3552.354	3505.582	3481.798	3453.901	211618864.0
2015-01-28	3547.239	3569.517	3583.312	3525.323	3512.393	216220208.0
2015-01-27	3614.038	3574.229	3616.258	3574.931	3510.017	287669184.0
2015-01-26	3580.118	3538.487	3611.617	3607.985	3559.376	239766208.0
2015-01-23	3582.088	3487.921	3627.806	3571.732	3548.626	280172160.0
2015-01-22	3551.052	3500.604	3576.756	3567.613	3520.053	268853600.0
2015-01-21	3420.491	3507.906	3557.794	3548.885	3409.43	337928224.0
2015-01-20	3336.793	3498.613	3419.204	3396.222	3325.681	297843232.0
2015-01-19	3414.013	3522.177	3497.252	3355.155	3330.981	329505280.0
2015-01-16	3616.248	3553.861	3662.158	3635.146	3601.258	282681600.0
2015-01-15	3501.719	3536.177	3604.121	3604.121	3482.27	237812336.0
2015-01-14	3522.907	3527.204	3547.242	3502.423	3471.56	196012512.0
